Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.137639999	0.32001999	0.137639999	0.32001999	2143.174805	20107.16602	261.4994202	0	1.003209949	438.2180176	20107.16602	2	1	-1	248	0	0
1	0.138559997	0.205789998	0.138559997	0.205789998	1706.824463	17370.07031	272.3513794	0	1.002329946	425.6634216	17370.07031	2	1	-1	325	0	0
1	0.143759996	0.308649987	0.143759996	0.308649987	2579.003418	23655.06641	258.5655212	0	1.013640046	451.456604	23655.06641	2	1	-1	246	0	0
1	0.144240007	0.279570013	0.144240007	0.279570013	2285.465332	20516.79883	255.8049164	0	1.017420053	461.4006348	20516.79883	2	1	-1	252	0	0
1	0.145219997	0.1866	0.145219997	0.1866	1808.549683	18224.3125	271.0095825	0	1.003329992	424.9974976	18224.3125	2	1	-1	324	0	0
1	0.147699997	0.353709996	0.147699997	0.353709996	1791.327515	16658.46875	260.3695374	0	1.026110053	437.9638977	16658.46875	2	1	-1	253	0	0
1	0.149990007	0.192379996	0.149990007	0.192379996	1784.889771	16952.17383	263.1108704	0	1.012889981	435.6308594	16952.17383	2	1	-1	326	0	0
1	0.154809996	-0.286320001	0.154809996	-0.286320001	2317.157959	20209.17383	252.1283722	0	1.007580042	458.938324	20209.17383	2	1	-1	407	0	0
1	0.156399995	-0.15298	0.156399995	-0.15298	956.8297119	8328.09668	251.8972778	0	1.028319955	409.9836121	8328.09668	2	1	-1	99	0	0
1	0.159199998	0.337150007	0.159199998	0.337150007	1478.869507	13032.16211	253.4359283	0	1.006960034	426.1671448	13032.16211	2	1	-1	254	0	0
1	0.165059999	0.125159994	0.165059999	0.125159994	686.3807373	5922.217285	250.8936005	0	1.063439965	397.8296204	5922.217285	2	1	-1	92	0	0
1	0.1664	0.330500007	0.1664	0.330500007	1986.963745	16537.62891	246.3011475	0	1.001760006	461.6959839	16537.62891	2	1	-1	243	0	0
